shipsRemaining, shipsSunk, proportionShipsRemaining, minesRemaining, minesDetonated, proportionMinesRemaining
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
6, 4,0.60,5,5,0.50
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
5, 5,0.50,4,6,0.40
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
6, 4,0.60,6,4,0.60
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
4, 6,0.40,4,6,0.40
5, 5,0.50,5,5,0.50
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
5, 5,0.50,5,5,0.50
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
6, 4,0.60,6,4,0.60
5, 5,0.50,4,6,0.40
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
7, 3,0.70,7,3,0.70
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
4, 6,0.40,4,6,0.40
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
8, 2,0.80,8,2,0.80
5, 5,0.50,5,5,0.50
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
4, 6,0.40,4,6,0.40
5, 5,0.50,5,5,0.50
5, 5,0.50,5,5,0.50
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
4, 6,0.40,4,6,0.40
6, 4,0.60,6,4,0.60
4, 6,0.40,4,6,0.40
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
5, 5,0.50,5,5,0.50
5, 5,0.50,5,5,0.50
5, 5,0.50,4,6,0.40
5, 5,0.50,5,5,0.50
5, 5,0.50,5,5,0.50
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
4, 6,0.40,4,6,0.40
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
4, 6,0.40,4,6,0.40
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
5, 5,0.50,5,5,0.50
7, 3,0.70,7,3,0.70
4, 6,0.40,4,6,0.40
6, 4,0.60,6,4,0.60
6, 4,0.60,6,4,0.60
4, 6,0.40,4,6,0.40
7, 3,0.70,7,3,0.70
4, 6,0.40,4,6,0.40
7, 3,0.70,7,3,0.70
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
5, 5,0.50,5,5,0.50
6, 4,0.60,6,4,0.60
